season,stateoc,agecat,osh,rcu,pi
2,SD,3,0,35,7
2,SD,3,1,84,11
2,SD,4,0,142,29
2,SD,4,1,244,19
2,SD,5,0,817,204
2,SD,5,1,1638,212
2,TN,1,0,55,5
2,TN,1,1,20,6
2,TN,2,0,26,4
2,TN,2,1,13,2
2,TN,3,0,615,114
2,TN,3,1,808,54
2,TN,4,0,2001,389
2,TN,4,1,2587,91
2,TN,5,0,7532,1821
2,TN,5,1,11531,927
2,TX,1,0,214,28
2,TX,1,1,51,16
2,TX,2,0,91,18
2,TX,2,1,58,3
2,TX,3,0,1881,336
2,TX,3,1,2058,101
2,TX,4,0,5643,913
2,TX,4,1,6532,284
2,TX,5,0,19596,4284
2,TX,5,1,31791,2041
2,UT,1,0,27,3
2,UT,1,1,5,3
2,UT,2,0,9,2
2,UT,2,1,10,1
2,UT,3,0,113,17
2,UT,3,1,163,22
2,UT,4,0,266,50
2,UT,4,1,479,29
2,UT,5,0,1225,282
2,UT,5,1,3197,331
2,VA,1,0,46,4
2,VA,1,1,25,9
2,VA,2,0,19,4
2,VA,2,1,21,1
2,VA,3,0,424,55
2,VA,3,1,605,22
2,VA,4,0,1412,231
2,VA,4,1,1790,49
2,VA,5,0,6815,1430
2,VA,5,1,10401,732
2,VT,1,0,2,0
2,VT,1,1,3,0
2,VT,2,1,2,0
2,VT,3,0,30,6
2,VT,3,1,43,2
2,VT,4,0,95,24
2,VT,4,1,156,6
2,VT,5,0,519,140
2,VT,5,1,1348,156
2,WA,1,0,36,7
2,WA,1,1,15,6
2,WA,2,0,17,2
2,WA,2,1,13,4
2,WA,3,0,352,61
2,WA,3,1,461,50
2,WA,4,0,1228,220
2,WA,4,1,1579,77
2,WA,5,0,5085,1134
2,WA,5,1,10672,978
2,WI,1,0,20,2
2,WI,1,1,15,3
2,WI,2,0,8,1
2,WI,2,1,9,3
2,WI,3,0,220,31
2,WI,3,1,386,31
2,WI,4,0,697,114
2,WI,4,1,1421,70
2,WI,5,0,3786,809
2,WI,5,1,10994,1012
2,WV,1,0,12,1
2,WV,1,1,8,2
2,WV,2,0,2,0
2,WV,2,1,6,1
2,WV,3,0,140,30
2,WV,3,1,269,24
2,WV,4,0,575,100
